Sample in Buffer,Sample in Window,TRIGGER,ila_out_r[15:0],ila_out_g[15:0],ila_out_b[15:0],capture_active_r,capture_active_g,capture_active_b,final_output_size_r[15:0],final_output_size_g[15:0],final_output_size_b[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,UNSIGNED,UNSIGNED,UNSIGNED
378,378,0,180,213,43,1,1,1,250,194,208
379,379,0,142,212,248,1,1,1,250,194,208
380,380,0,144,256,374,1,1,1,250,194,208
381,381,0,185,220,387,1,1,1,250,194,208
382,382,0,232,210,387,1,1,1,250,194,208
383,383,0,225,211,359,1,1,1,250,194,208
384,384,0,223,260,385,1,1,1,250,194,208
385,385,0,235,256,252,1,1,1,250,194,208
386,386,0,236,211,66,1,1,1,250,194,208
387,387,0,239,213,84,1,1,1,250,194,208
388,388,0,235,288,236,1,1,1,250,194,208
389,389,0,228,214,251,1,1,1,250,194,208
390,390,0,201,215,373,1,1,1,250,194,208
391,391,0,165,219,386,1,1,1,250,194,208
392,392,0,169,210,358,1,1,1,250,194,208
393,393,0,171,216,399,1,1,1,250,194,208
394,394,0,157,218,374,1,1,1,250,194,208
395,395,0,140,219,227,1,1,1,250,194,208
396,396,0,162,222,58,1,1,1,250,194,208
397,397,0,162,225,192,1,1,1,250,194,208
398,398,0,227,213,253,1,1,1,250,194,208
399,399,0,236,283,245,1,1,1,250,194,208
400,400,0,235,266,248,1,1,1,250,194,208
401,401,0,215,266,248,1,1,1,250,194,208
402,402,0,229,283,250,1,1,1,250,194,208
403,403,0,231,220,242,1,1,1,250,194,208
404,404,0,234,219,411,1,1,1,250,194,208
405,405,0,242,235,375,1,1,1,250,194,208
406,406,0,154,273,422,1,1,1,250,194,208
407,407,0,198,215,43,1,1,1,250,194,208
408,408,0,187,221,81,1,1,1,250,194,208
409,409,0,147,226,110,1,1,1,250,194,208
410,410,0,189,101,96,1,1,1,250,194,208
411,411,0,142,129,411,1,1,1,250,194,208
412,412,0,145,252,246,1,1,1,250,194,208
413,413,0,173,112,246,1,1,1,250,194,208
414,414,0,175,95,239,1,1,1,250,194,208
415,415,0,242,223,252,1,1,1,250,194,208
416,416,0,239,218,253,1,1,1,250,194,208
417,417,0,231,239,414,1,1,1,250,194,208
418,418,0,217,220,385,1,1,1,250,194,208
419,419,0,236,220,232,1,1,1,250,194,208
420,420,0,234,236,172,1,1,1,250,194,208
421,421,0,159,219,170,1,1,1,250,194,208
422,422,0,143,220,182,1,1,1,250,194,208
423,423,0,157,217,248,1,1,1,250,194,208
424,424,0,145,212,246,1,1,1,250,194,208
425,425,0,143,100,250,1,1,1,250,194,208
426,426,0,177,41,247,1,1,1,250,194,208
427,427,0,149,63,358,1,1,1,250,194,208
428,428,0,176,31,357,1,1,1,250,194,208
429,429,0,146,41,372,1,1,1,250,194,208
430,430,0,161,40,419,1,1,1,250,194,208
431,431,0,172,108,357,1,1,1,250,194,208
432,432,0,177,211,411,1,1,1,250,194,208
433,433,0,142,219,386,1,1,1,250,194,208
434,434,0,163,212,0,1,1,0,250,194,208
435,435,0,194,229,70,1,1,1,250,194,208
436,436,0,158,225,69,1,1,1,250,194,208
437,437,0,169,294,69,1,1,1,250,194,208
438,438,0,140,219,68,1,1,1,250,194,208
439,439,0,163,213,69,1,1,1,250,194,208
440,440,0,178,53,70,1,1,1,250,194,208
441,441,0,146,40,71,1,1,1,250,194,208
442,442,0,148,54,256,1,1,1,250,194,208
443,443,0,187,32,257,1,1,1,250,194,208
444,444,0,178,49,69,1,1,1,250,194,208
445,445,0,141,63,71,1,1,1,250,194,208
446,446,0,141,140,79,1,1,1,250,194,208
447,447,0,144,235,76,1,1,1,250,194,208
448,448,0,178,221,68,1,1,1,250,194,208
449,449,0,136,282,72,1,1,1,250,194,208
450,450,0,166,254,77,1,1,1,250,194,208
451,451,0,196,255,69,1,1,1,250,194,208
452,452,0,166,255,60,1,1,1,250,194,208
453,453,0,154,254,69,1,1,1,250,194,208
454,454,0,150,30,77,1,1,1,250,194,208
455,455,0,149,40,73,1,1,1,250,194,208
456,456,0,187,59,257,1,1,1,250,194,208
457,457,0,151,34,256,1,1,1,250,194,208
458,458,0,142,28,66,1,1,1,250,194,208
459,459,0,147,138,65,1,1,1,250,194,208
460,460,0,150,44,66,1,1,1,250,194,208
461,461,0,169,109,68,1,1,1,250,194,208
462,462,0,151,255,68,1,1,1,250,194,208
463,463,0,165,252,281,1,1,1,250,194,208
464,464,0,182,252,281,1,1,1,250,194,208
465,465,0,125,255,282,1,1,1,250,194,208
466,466,0,30,253,259,1,1,1,250,194,208
467,467,0,59,352,70,1,1,1,250,194,208
468,468,0,45,255,77,1,1,1,250,194,208
469,469,0,185,37,74,1,1,1,250,194,208
470,470,0,178,63,73,1,1,1,250,194,208
471,471,0,144,92,71,1,1,1,250,194,208
472,472,0,202,35,67,1,1,1,250,194,208
473,473,0,153,68,68,1,1,1,250,194,208
474,474,0,160,73,71,1,1,1,250,194,208
475,475,0,177,52,63,1,1,1,250,194,208
476,476,0,197,67,78,1,1,1,250,194,208
477,477,0,155,351,57,1,1,1,250,194,208
478,478,0,156,353,63,1,1,1,250,194,208
479,479,0,181,378,101,1,1,1,250,194,208
480,480,0,181,255,75,1,1,1,250,194,208
481,481,0,178,95,70,1,1,1,250,194,208
482,482,0,156,35,73,1,1,1,250,194,208
483,483,0,101,34,72,1,1,1,250,194,208
484,484,0,88,129,303,1,1,1,250,194,208
485,485,0,113,50,73,1,1,1,250,194,208
486,486,0,184,50,68,1,1,1,250,194,208
487,487,0,180,63,67,1,1,1,250,194,208
488,488,0,153,100,95,1,1,1,250,194,208
489,489,0,183,368,101,1,1,1,250,194,208
490,490,0,141,379,44,1,1,1,250,194,208
491,491,0,156,352,72,1,1,1,250,194,208
492,492,0,437,227,68,1,1,1,250,194,208
493,493,0,147,146,296,1,1,1,250,194,208
494,494,0,154,65,67,1,1,1,250,194,208
495,495,0,146,56,106,1,1,1,250,194,208
496,496,0,169,59,91,1,1,1,250,194,208
497,497,0,162,32,81,1,1,1,250,194,208
498,498,0,186,35,116,1,1,1,250,194,208
499,499,0,157,251,86,1,1,1,250,194,208
500,500,0,144,368,62,1,1,1,250,194,208
501,501,0,161,351,86,1,1,1,250,194,208
502,502,0,163,380,96,1,1,1,250,194,208
503,503,0,160,353,72,1,1,1,250,194,208
504,504,0,160,44,66,1,1,1,250,194,208
505,505,0,0,64,79,0,1,1,250,194,208
506,506,0,19,238,71,1,1,1,250,194,208
507,507,0,15,254,307,1,1,1,250,194,208
508,508,0,16,365,66,1,1,1,250,194,208
509,509,0,18,390,50,1,1,1,250,194,208
510,510,0,19,403,49,1,1,1,250,194,208
511,511,0,20,226,69,1,1,1,250,194,208
512,512,0,19,51,39,1,1,1,250,194,208
513,513,0,16,239,48,1,1,1,250,194,208
514,514,0,15,255,48,1,1,1,250,194,208
515,515,0,14,247,97,1,1,1,250,194,208
516,516,0,258,251,70,1,1,1,250,194,208
517,517,0,20,253,62,1,1,1,250,194,208
518,518,0,30,254,66,1,1,1,250,194,208
519,519,0,24,249,47,1,1,1,250,194,208
520,520,0,24,353,109,1,1,1,250,194,208
521,521,0,22,390,88,1,1,1,250,194,208
522,522,0,26,352,93,1,1,1,250,194,208
523,523,0,31,38,97,1,1,1,250,194,208
524,524,0,46,210,83,1,1,1,250,194,208
525,525,0,50,219,59,1,1,1,250,194,208
526,526,0,44,215,47,1,1,1,250,194,208
527,527,0,32,254,60,1,1,1,250,194,208
528,528,0,23,351,40,1,1,1,250,194,208
529,529,0,15,250,56,1,1,1,250,194,208
530,530,0,25,252,70,1,1,1,250,194,208
531,531,0,34,247,118,1,1,1,250,194,208
532,532,0,36,422,42,1,1,1,250,194,208
533,533,0,268,352,55,1,1,1,250,194,208
534,534,0,18,250,107,1,1,1,250,194,208
535,535,0,16,235,74,1,1,1,250,194,208
536,536,0,60,234,250,1,1,1,250,194,208
537,537,0,17,237,251,1,1,1,250,194,208
538,538,0,23,252,252,1,1,1,250,194,208
539,539,0,19,251,251,1,1,1,250,194,208
540,540,0,18,254,38,1,1,1,250,194,208
541,541,0,17,400,47,1,1,1,250,194,208
542,542,0,17,379,66,1,1,1,250,194,208
543,543,0,14,428,42,1,1,1,250,194,208
544,544,0,23,366,36,1,1,1,250,194,208
545,545,0,32,254,140,1,1,1,250,194,208
546,546,0,33,367,51,1,1,1,250,194,208
547,547,0,31,352,113,1,1,1,250,194,208
548,548,0,34,402,251,1,1,1,250,194,208
